State,High Point,Date
Alaska,Denali,12/17/2022
California,Mount Whitney,
Colorado,Mount Elbert,
Washington,Mount Rainier,
Wyoming,Gannett Peak,
Hawaii,Mauna Kea,
Utah,Kings Peak,
New Mexico,Wheeler Peak,
Nevada,Boundary Peak,
Montana,Granite Peak,
Idaho,Borah Peak,
Arizona,Humphreys Peak,8/19/2022
Oregon,Mount Hood,
Texas,Guadalupe Peak,
South Dakota,Black Elk Peak,
North Carolina,Mount Mitchell,
Tennessee,Clingmans Dome,
New Hampshire,Mount Washington,
Virginia,Mount Rogers,
Nebraska,Panorama Point,
New York,Mount Marcy,
Maine,Katahdin,
Oklahoma,Black Mesa,3/14/2009
West Virginia,Spruce Knob,
Georgia,Brasstown Bald,
Vermont,Mount Mansfield,
Kentucky,Black Mountain,
Kansas,Mount Sunflower,
South Carolina,Sassafras Mountain,3/7/2019
North Dakota,White Butte,
Massachusetts,Mount Greylock,
Maryland,Backbone Mountain,
Pennsylvania,Mount Davis,
Arkansas,Magazine Mountain,
Alabama,Cheaha Mountain,
Connecticut,Mount Frissell-South Slope,
Minnesota,Eagle Mountain,
Michigan,Mount Arvon,
Wisconsin,Timms Hill,
New Jersey,High Point,
Missouri,Taum Sauk Mountain,
Iowa,Hawkeye Point,
Ohio,Campbell Hill,
Indiana,Hoosier Hill,
Illinois,Charles Mound,
Rhode Island,Jerimoth Hill,
Mississippi,Woodall Mountain,
Louisiana,Driskill Mountain,
Delaware,Ebright Azimuth,
Florida,Britton Hill,
