X,Y,Peak,Abreviation,State,Elevation,Wiki
-85.809167,33.485556,Cheaha Mountain,AL,Alabama,2407,https://en.wikipedia.org/wiki/Cheaha_Mountain
-151.007222,63.069444,Denali,AK,Alaska,20320,https://en.wikipedia.org/wiki/Denali
-111.677944,35.346342,Humphreys Peak,AZ,Arizona,12633,https://en.wikipedia.org/wiki/Humphreys_Peak
-93.644722,35.167222,Magazine Mountain,AR,Arkansas,2753,https://en.wikipedia.org/wiki/Magazine_Mountain
-118.292,36.578583,Mount Whitney,CA,California,14494,https://en.wikipedia.org/wiki/Mount_Whitney
-106.445358,39.11775,Mount Elbert,CO,Colorado,14433,https://en.wikipedia.org/wiki/Mount_Elbert
-73.48,42.051111,Mount Frissell,CT,Connecticut,2380,https://en.wikipedia.org/wiki/Mount_Frissell
-75.518973,39.836033,Ebright Azimuth,DE,Delaware,442,https://en.wikipedia.org/wiki/Ebright_Azimuth
-86.281944,30.988333,Britton Hill,FL,Florida,345,https://en.wikipedia.org/wiki/Britton_Hill
-83.810833,34.874167,Brasstown Bald,GA,Georgia,4784,https://en.wikipedia.org/wiki/Brasstown_Bald
-155.468333,19.821028,Mauna Kea,HI,Hawaii,13796,https://en.wikipedia.org/wiki/Mauna_Kea
-113.7811,44.137389,Borah Peak,ID,Idaho,12662,https://en.wikipedia.org/wiki/Borah_Peak
-90.2401,42.5042,Charles Mound,IL,Illinois,1235,https://en.wikipedia.org/wiki/Charles_Mound
-84.850833,40.000278,Hoosier Hill,IN,Indiana,1257,https://en.wikipedia.org/wiki/Hoosier_Hill
-95.708611,43.46,Hawkeye Point,IA,Iowa,1670,https://en.wikipedia.org/wiki/Hawkeye_Point
-102.036667,39.021944,Mount Sunflower,KS,Kansas,4039,https://en.wikipedia.org/wiki/Mount_Sunflower
-82.893889,36.914167,Black Mountain,KT,Kentucky,4145,https://en.wikipedia.org/wiki/Black_Mountain_(Kentucky)
-92.896639,32.424811,Driskill Mountain,LA,Louisiana,535,https://en.wikipedia.org/wiki/Driskill_Mountain
-68.921275,45.904356,Mount Katahdin,ME,Maine,5267,https://en.wikipedia.org/wiki/Katahdin
-79.485833,39.237222,Backbone Mountain,MD,Maryland,3360,https://en.wikipedia.org/wiki/Backbone_Mountain
-73.166667,42.6375,Mount Greylock,MA,Massachusetts,3491,https://en.wikipedia.org/wiki/Mount_Greylock
-88.155833,46.755556,Mount Arvon,MI,Michigan,1979,https://en.wikipedia.org/wiki/Mount_Arvon
-90.56,47.8975,Eagle Mountain,MN,Minnesota,2301,https://en.wikipedia.org/wiki/Eagle_Mountain_(Minnesota)
-88.241667,34.787778,Woodall Mountain,MS,Mississippi,806,https://en.wikipedia.org/wiki/Woodall_Mountain
-90.727778,37.570278,Taum Sauk Mountain,MO,Missouri,1772,https://en.wikipedia.org/wiki/Taum_Sauk_Mountain
-109.807222,45.163333,Granite Peak,MT,Montana,12799,https://en.wikipedia.org/wiki/Granite_Peak_(Montana)
-104.0305,41.0072,Panorama Point,NE,Nebraska,5424,https://en.wikipedia.org/wiki/Panorama_Point
-118.3513,37.846097,Boundary Peak,NV,Nevada,13143,https://en.wikipedia.org/wiki/Boundary_Peak_(Nevada)
-71.303483,44.270828,Mount Washington,NH,New Hampshire,6288,https://en.wikipedia.org/wiki/Mount_Washington
-74.661667,41.320833,High Point,NJ,New Jersey,1803,https://en.wikipedia.org/wiki/High_Point_(New_Jersey)
-105.416953,36.556697,Wheeler Peak,NM,New Mexico,13161,https://en.wikipedia.org/wiki/Wheeler_Peak_(New_Mexico)
-73.923889,44.1125,Mount Marcy,NY,New York,5344,https://en.wikipedia.org/wiki/Mount_Marcy
-82.265278,35.764722,Mount Mitchell,NC,North Carolina,6684,https://en.wikipedia.org/wiki/Mount_Mitchell
-103.301944,46.386667,White Butte,ND,North Dakota,3506,https://en.wikipedia.org/wiki/White_Butte
-83.713889,40.369722,Campbell Hill,OH,Ohio,1550,https://en.wikipedia.org/wiki/Campbell_Hill_(Ohio)
-102.997368,36.93185,Black Mesa,OK,Oklahoma,4973,https://en.wikipedia.org/wiki/Black_Mesa_(Oklahoma)
-121.695919,45.373514,Mount Hood,OR,Oregon,11239,https://en.wikipedia.org/wiki/Mount_Hood
-79.176667,39.785833,Mount Davis,PA,Pennsylvania,3213,https://en.wikipedia.org/wiki/Mount_Davis_(Pennsylvania)
-71.778611,41.849444,Jerimoth Hill,RI,Rhode Island,812,https://en.wikipedia.org/wiki/Jerimoth_Hill
-82.777222,35.064722,Sassafras Mountain,SC,South Carolina,3560,https://en.wikipedia.org/wiki/Sassafras_Mountain
-103.531089,43.865953,Harney Peak,SD,South Dakota,7242,https://en.wikipedia.org/wiki/Black_Elk_Peak
-83.498611,35.562778,Clingsman Dome,TN,Tennessee,6643,https://en.wikipedia.org/wiki/Clingmans_Dome
-104.86,31.891111,Guadalupe Peak,TX,Texas,8749,https://en.wikipedia.org/wiki/Guadalupe_Peak
-110.372778,40.776111,Kings Peak,UT,Utah,13528,https://en.wikipedia.org/wiki/Kings_Peak_(Utah)
-72.814167,44.543611,Mount Mansfield,VT,Vermont,4393,https://en.wikipedia.org/wiki/Mount_Mansfield
-81.544722,36.659722,Mount Rogers,VA,Virginia,5729,https://en.wikipedia.org/wiki/Mount_Rogers
-121.759889,46.853306,Mount Rainier,WA,Washington,14411,https://en.wikipedia.org/wiki/Mount_Rainier
-79.532778,38.699722,Spruce Knob,WV,West Virginia,4863,https://en.wikipedia.org/wiki/Spruce_Knob
-90.195,45.451111,Timms Hill,WI,Wisconsin,1951,https://en.wikipedia.org/wiki/Timms_Hill
-109.653333,43.184444,Gannett Peak,WY,Wyoming,13804,https://en.wikipedia.org/wiki/Gannett_Peak
